method,EN,SD,FE,MG,MI_vis,MI_ir,SF,Qabf,Nabf,SSIM,SCD,VIF
Promedio,6.5178,0.1092,1.029,0.0144,1.5119,1.0637,7.112,0.3098,0.0,0.7921,1.3247,0.3305
PiramideLaplace,6.835,0.1548,1.0792,0.0248,2.1183,1.0717,13.04,0.4419,0.108,0.7208,1.3217,0.4101
Curvelet,6.6645,0.1167,1.0529,0.0256,1.3038,0.8843,13.151,0.4762,0.1915,0.7305,1.3208,0.3067
TopHat_disk_L3,6.6765,0.1197,1.0546,0.023,1.3954,0.9182,11.627,0.4559,0.1019,0.7441,1.3967,0.3523
TopHat_square_L3,6.6901,0.1209,1.0568,0.0231,1.3906,0.9145,11.5761,0.4392,0.104,0.7414,1.4042,0.3528
TopHat_cross_L3,6.6632,0.1187,1.0525,0.0226,1.383,0.9381,11.4187,0.4556,0.1071,0.7494,1.3917,0.344
TopHat_disk_L5,6.7217,0.1246,1.0618,0.0235,1.3628,0.914,11.9234,0.4583,0.1168,0.7392,1.4302,0.3564
TopHat_disk_L3_BTH,6.9721,0.143,1.1022,0.0444,0.8758,0.6181,21.7436,0.3259,0.5368,0.5765,1.3408,0.3137
TopHat_square_L3_BTH,6.997,0.1459,1.1062,0.044,0.8578,0.6123,21.3473,0.3287,0.5319,0.575,1.3386,0.3182
TopHat_cross_L3_BTH,6.9762,0.1433,1.1031,0.0444,0.8859,0.6336,21.8316,0.3109,0.5369,0.5724,1.3378,0.3004
TopHat_disk_L5_BTH,7.1065,0.161,1.124,0.0473,0.7729,0.5949,22.9396,0.2913,0.5745,0.5338,1.2791,0.2977
TopHat_Optimo,6.5981,0.1129,1.0423,0.0232,1.3681,0.9316,12.403,0.4478,0.1211,0.7607,1.3528,0.3219
Optimo_Multiescala,6.6627,0.1193,1.0522,0.0209,1.3101,0.8768,10.6922,0.5137,0.0654,0.7747,1.4532,0.3687
Propuesta_Novedosa,6.591479816889061,0.1132915250957012,1.040956759707708,0.0186405621934682,1.4059537129592834,0.9493719100157404,9.31153837442398,0.4842855449143511,0.0297903821517325,0.785125436758891,1.3969072490930556,0.3542290858154975
"Bala_SingleScale(r12,m0.127)",6.612528630408586,0.11501891389489174,1.044259887755953,0.019061396736651658,1.3741436467963595,0.927418376536781,9.519245171546936,0.49481820138434013,0.035252497405495756,0.7834616668262742,1.4211779929697514,0.3610998789062764
