method,mAP50,mAP50_95,precision,recall,AP50_People,AP50_Car,AP50_Bus,AP50_Motorcycle,AP50_Lamp,AP50_Truck
VIS,0.2454,0.1369,0.6257,0.237,0.178,0.641,0.4596,0.0176,0.1353,0.0408
IR,0.1906,0.0978,0.6684,0.1838,0.2198,0.5788,0.2725,0.0376,0.0176,0.0173
PiramideLaplace,0.2152,0.1208,0.6152,0.2196,0.1472,0.6343,0.3787,0.0158,0.0961,0.0192
RatioPiramide,0.2314,0.127,0.6806,0.2302,0.1982,0.6142,0.4105,0.0226,0.1327,0.0105
DWT,0.2278,0.1282,0.6019,0.2179,0.1648,0.6364,0.4126,0.0233,0.1101,0.0196
DTCWT,0.2291,0.1273,0.6444,0.2252,0.1594,0.6286,0.4335,0.024,0.114,0.015
Curvelet,0.2275,0.1257,0.6198,0.2237,0.1667,0.6347,0.416,0.0282,0.1002,0.0191
TopHat_Clasico,0.1978,0.1099,0.6557,0.1883,0.1253,0.5709,0.3988,0.0169,0.0543,0.0204
PSO_FPUNA_Fo,0.2288,0.1289,0.6687,0.2246,0.1739,0.6175,0.4277,0.0179,0.1177,0.0179
Propuesta_Fapt,0.2389,0.1338,0.64,0.2323,0.207,0.6399,0.437,0.0196,0.1165,0.0131
Propuesta_Fo,0.2376,0.1321,0.6516,0.2328,0.1998,0.6427,0.4297,0.0252,0.1097,0.0183
