,EN,SD,FE,MG,MI_vis,MI_ir,SF,Qabf,Nabf,SSIM,SCD,VIF,avg_rank
PiramideLaplace,5.0,2.0,5.0,6.0,1.0,1.0,6.0,9.0,8.0,11.0,13.0,1.0,5.67
TopHat_disk_L5,6.0,6.0,6.0,7.0,9.0,9.0,8.0,5.0,9.0,9.0,2.0,4.0,6.67
TopHat_disk_L3,8.0,8.0,8.0,10.0,4.0,7.0,9.0,6.0,5.0,7.0,6.0,7.0,7.08
TopHat_square_L3,7.0,7.0,7.0,9.0,5.0,8.0,10.0,10.0,6.0,8.0,4.0,6.0,7.25
Optimo_Multiescala,11.0,9.0,11.0,12.0,10.0,11.0,12.0,1.0,4.0,4.0,1.0,2.0,7.33
Propuesta_Novedosa,12.0,12.0,12.0,13.0,7.0,6.0,13.0,2.0,3.0,3.0,3.0,3.0,7.42
Multiescala_n8,14.0,13.0,14.0,14.0,3.0,3.0,14.0,3.0,2.0,2.0,5.0,5.0,7.67
TopHat_cross_L3,10.0,10.0,10.0,11.0,6.0,4.0,11.0,7.0,7.0,6.0,7.0,8.0,8.08
TopHat_square_L3_BTH,2.0,3.0,2.0,4.0,14.0,14.0,4.0,11.0,12.0,13.0,10.0,11.0,8.33
TopHat_disk_L3_BTH,4.0,5.0,4.0,2.5,13.0,13.0,3.0,12.0,13.0,12.0,9.0,12.0,8.54
TopHat_cross_L3_BTH,3.0,4.0,3.0,2.5,12.0,12.0,2.0,13.0,14.0,14.0,11.0,14.0,8.71
TopHat_Optimo,13.0,14.0,13.0,8.0,8.0,5.0,7.0,8.0,10.0,5.0,8.0,10.0,9.08
TopHat_disk_L5_BTH,1.0,1.0,1.0,1.0,15.0,15.0,1.0,15.0,15.0,15.0,15.0,15.0,9.17
Curvelet,9.0,11.0,9.0,5.0,11.0,10.0,5.0,4.0,11.0,10.0,14.0,13.0,9.33
Promedio,15.0,15.0,15.0,15.0,2.0,2.0,15.0,14.0,1.0,1.0,12.0,9.0,9.67
